parcel_id,situs_address,year_built,county_code,property_use,lot_size,building_area
474131050320,"8284 NW 125 LN, PARKLAND 33076",2007,16,001,7187,2478
474133053040,"8282 EMERALD AVE, PARKLAND 33076",2006,16,001,10558,4222
474131051380,"8288 NW 122 LN, PARKLAND 33076",2007,16,001,12670,3271
474132020980,"8274 NW 107 TER, PARKLAND 33076",2005,16,001,7204,3265
474132021180,"8275 NW 105 LN, PARKLAND 33076",2005,16,001,7504,3553
474131051270,"8266 NW 124 TER, PARKLAND 33076",2006,16,001,9710,3307
474131051390,"8274 NW 122 LN, PARKLAND 33076",2007,16,001,10449,4157
474132020320,"8270 NW 105 LN, PARKLAND 33076",2005,16,001,7314,3525
474132021320,"8267 NW 107 TER, PARKLAND 33076",2006,16,001,7548,3525
474133052680,"9528 EDEN MNR, PARKLAND 33076",2006,16,001,10348,4091
474133054470,"EDEN MNR, PARKLAND 33076",0,16,009,23216,0
474133054560,"BRADFORD WAY, PARKLAND 33076",0,16,009,5013,0
474133051440,"8251 CANOPY TER, PARKLAND 33076",2014,16,001,7208,3293
474133052780,"8259 EMERALD AVE, PARKLAND 33076",2006,16,001,12878,3619
474131050330,"8272 NW 125 LN, PARKLAND 33076",2007,16,001,7832,3570
474131050100,"8271 NW 125 LN, PARKLAND 33076",2007,16,001,6561,3615
474133051940,"8262 CANOPY TER, PARKLAND 33076",2013,16,001,7483,3350
474131051260,"8254 NW 124 TER, PARKLAND 33076",2007,16,001,9833,4239
474135021010,"8210 FALLS LN, PARKLAND 33067",1995,16,001,53936,6658
474135021020,"8211 FALLS LN, PARKLAND 33067",1995,16,001,45697,4664
474133053030,"8262 EMERALD AVE, PARKLAND 33076",2007,16,001,9708,5288
474135021140,"8211 BLUE RIDGE LN, PARKLAND 33067",2001,16,001,44127,5878
474135021130,"8200 BLUE RIDGE LN, PARKLAND 33067",1991,16,001,50834,6195
474135021150,"8201 BLUE RIDGE LN, PARKLAND 33067",1989,16,001,49425,6089
474133052590,"9785 BAY LEAF CT, PARKLAND 33076",2007,16,001,14042,5388
474133052670,"9558 EDEN MNR, PARKLAND 33076",2006,16,001,10348,4844
474133051820,"8256 BRADFORD WAY, PARKLAND 33076",2013,16,001,11440,3381
474133050970,"8252 BRADFORD WAY, PARKLAND 33076",2014,16,001,9962,4351
474132020970,"8264 NW 107 TER, PARKLAND 33076",2005,16,001,7492,2768
474132021190,"8255 NW 105 LN, PARKLAND 33076",2004,16,001,7504,3060
474132021310,"8247 NW 107 TER, PARKLAND 33076",2005,16,001,8142,2906
474132020330,"8260 NW 105 LN, PARKLAND 33076",2005,16,001,7314,3265
474133052580,"9805 BAY LEAF CT, PARKLAND 33076",2007,16,001,14011,5356
474131051400,"8260 NW 122 LN, PARKLAND 33076",2007,16,001,9806,3624
474133052310,"9930 BAY LEAF CT, PARKLAND 33076",2007,16,001,21565,5432
474133051450,"8241 CANOPY TER, PARKLAND 33076",2015,16,001,7183,3486
474133052660,"9560 EDEN MNR, PARKLAND 33076",2006,16,001,10348,4302
474131050340,"8260 NW 125 LN, PARKLAND 33076",2007,16,001,6800,3588
474131050090,"8257 NW 125 LN, PARKLAND 33076",2008,16,001,6619,3689
474133052490,"9985 BAY LEAF CT, PARKLAND 33076",2014,16,001,16186,5144
474131051250,"8242 NW 124 TER, PARKLAND 33076",2007,16,001,9948,3271
474133052650,"9580 EDEN MNR, PARKLAND 33076",2006,16,001,10348,3619
474133052630,"9610 EDEN MNR, PARKLAND 33076",2006,16,001,10076,3618
474133052620,"9630 EDEN MNR, PARKLAND 33076",2006,16,001,10962,4845
474133052640,"9600 EDEN MNR, PARKLAND 33076",2006,16,001,10348,3619
474132020960,"8254 NW 107 TER, PARKLAND 33076",2006,16,001,7808,3665
474133052610,"9640 EDEN MNR, PARKLAND 33076",2006,16,001,10962,4682
474133053020,"8242 EMERALD AVE, PARKLAND 33076",2007,16,001,9534,4800
474133051800,"10285 CANDLEBERRY ST, PARKLAND 33076",2014,16,001,13085,4066
474132021300,"8237 NW 107 TER, PARKLAND 33076",2005,16,001,8142,2976
474132021200,"8245 NW 105 LN, PARKLAND 33076",2005,16,001,6716,3265
474135010021,"7170 LOXAHATCHEE RD, PARKLAND 33067",1979,16,071,109155,18581
474135021000,"8200 FALLS LN, PARKLAND 33067",1995,16,001,51966,5713
474133050960,"8232 BRADFORD WAY, PARKLAND 33076",2014,16,001,10505,4298
