ParcelID,WorkType,Contractor,Status,Applied Date
494105340610,REROOF TILE,"A.S. PERMAUL ROOFING, INC.",APPROVED,08/31/20
494103181330,SEE 20-3775,"A.S. PERMAUL ROOFING, INC.",CANCELLED,09/09/20
494104410170,REROOF SHINGLE & FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,03/08/21
494110021240,REROOF SHINGLE AND FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,03/08/21
494110022710,REROOFING SHINGLE & FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,05/03/22
494113050550,REROOF SHINGLE AND FLAT,"A.S. PERMAUL ROOFING, INC.",APPROVED,08/31/22
494113050510,REROOF SHINGLE AND FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/24/22
494113050640,REROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,12/01/22
494103060110,RE-ROOF SHINGLE & FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,12/02/22
494114080480,REROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,02/28/23
494114120040,REROOF FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,02/28/23
494104210200,,"A.S. PERMAUL ROOFING, INC.",IN PLAN CHECK,05/03/23
494104210200,RE-ROOF TILE & FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,05/03/23
494104420610,SHINGLE RE-ROOF,"A.S. PERMAUL ROOFING, INC.",CLOSED,04/18/24
494109031870,REROOF TILE & FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,07/04/24
494110032450,RE-ROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,07/21/24
494109030730,REROOF FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/13/24
484134AE0000,REROOF SHINGLES,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/13/24
484134AE0000,REROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/13/24
484134AE0000,REROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/13/24
484134AE0000,REROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/13/24
484134AE0000,REROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/13/24
484134AE0000,REROOF SHINGLE,"A.S. PERMAUL ROOFING, INC.",CLOSED,11/13/24
494104670163,RE-ROOF SHINGLES,"A.S. PERMAUL ROOFING, INC.",CLOSED,01/01/25
494104210230,REROOF FLAT & SHINGLES,"A.S. PERMAUL ROOFING, INC.",CLOSED,01/16/25
494108050430,REROOF FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,07/02/25
494103182360,CXLD SEE 13-1294,A+ ROOFING CONTRACTORS,CANCELLED,10/27/08
494111300010,CHELSEA BLDG 1 -6 UNIT TO,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300010,CHELSEA BD 7 4 UNITS T/H,LENNAR HOMESLLC,CERTIFICATE ISSUED,06/24/15
494111300010,CHELSEA BLDG 6,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300010,CHELSEA BLDG 1 -6 UNIT TO,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300010,CHELSEA BLDG 4 UNITS 1-7,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300010,NEW CONST.-CABANA,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300010,MAIL KIOSK 2,LENNAR HOMES LLC,CLOSED,10/13/15
494111300020,MAIL KIOSK 1,LENNAR HOMES LLC,CLOSED,10/13/15
494111300010,NEW CONT. LOT1-7 BLDG 3,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300010,CHELSEA BLDG 2 UNITS 1-6,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300020,CHELSEA BLDG 8 UNITS 1-6,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300020,CHELSEA BLDG 11 UNITS 1-6,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300020,CHELSEA,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494111300020,CHELSEA BLDG 9 UNITS 1-7,LENNAR HOMES LLC,CERTIFICATE ISSUED,06/24/15
494217041490,RE-ROOF SHINGLE & FLAT,A+ ROOFING CONTRACTORS,CLOSED,11/11/19
494103051070,REROOF SHINGLE & FLAT,A+ ROOFING CONTRACTORS,APPROVED,03/29/22
494114021350,REROOF FLAT ONLY,"A&D ALL IN ONE ROOFING, LLC",CLOSED,03/15/23
494114021350,PATIO CONVERSION TO ROOM,HOME OWNER,CLOSED,03/16/23
494111100192,REROOF SHINGLE,A&E BROTHERS ROOFING INC,CLOSED,12/20/19
494110030680,REROOF SHINGLE,A&E BROTHERS ROOFING INC,APPROVED,06/04/20
494110022380,REROOF SHINGLE,A&E BROTHERS ROOFING INC,CLOSED,02/17/21
494111100100,REROOF SHINGLE ONLY,A&E BROTHERS ROOFING INC,CLOSED,05/14/21
494103182430,REROOF FLAT,A&E BROTHERS ROOFING INC,CLOSED,05/19/21
494103182430,TILE ROOF REPAIRS,A&E BROTHERS ROOFING INC,CLOSED,07/06/21
494112241330,RE-ROOF SHINGLE & FLAT,A&E BROTHERS ROOFING INC,CLOSED,07/13/23
494105160300,,A&E BROTHERS ROOFING INC,IN PLAN CHECK,11/22/23
494105160450,RE-ROOF SHINGLE & FLAT,A&E BROTHERS ROOFING INC,CLOSED,11/22/23
494103161000,RE-ROOF SHINGLE & FLAT,A&E BROTHERS ROOFING INC,APPROVED,08/07/24
494113102640,REROOF SHINGLE AND FLAT,A&J ROOFING CORP,CLOSED,07/17/20
494103042080,RE-ROOF TILE & FLAT,A&J ROOFING CORP,CLOSED,10/28/20
494113040760,REROOF SHINGLE & FLAT,A&J ROOFING CORP,CLOSED,02/23/21
494111100473,REROOF/NO WK DONE,A&J ROOFING CORP,CANCELLED,02/24/21
494104480011,BONAIRE@WOODMONT/ROOF,A&M FOX ROOFING,CLOSED,08/13/01
494105042030,EXP-UNSAFE/ENCL RM & BATH,CARL LIPUMA INDIVIDUAL,VOID,01/17/02
494104BG0000,BONAIRE VILLAGE/REP TRUSS,HENRY J DELUCA INDIVIDUAL,CLOSED,03/25/02
494105060750,SLUTE/RE-ROOF,A&M FOX ROOFING,CLOSED,07/18/02
494103161280,MARTIN/REROOF,A&M FOX ROOFING,CLOSED,09/23/02
494103161440,SCIABBICA/REROOF FLAT,A&M FOX ROOFING,CLOSED,02/24/03
494103161540,VANLENGEN/RE-ROOF,A&M FOX ROOFING,CLOSED,05/21/03
494110051690,MCKENNA/RE-ROOF,A&M FOX ROOFING,CLOSED,08/08/03
494113110780,FORSYTHE/REROOF,A&M FOX ROOFING,CLOSED,11/12/03
494109030190,BARTOLO/ROOF,A&M FOX ROOFING,CLOSED,04/28/04
494109030200,BONFIGLIO/REROOF,A&M FOX ROOFING,CLOSED,07/29/04
494109050920,REROOF FLAT AND TILE,A&M FOX ROOFING,CLOSED,03/23/05
494103181500,REROOF TILE TO SHINGLE/FL,A&M FOX ROOFING,CLOSED,05/03/05
494103032900,REROOF TILE,A&M FOX ROOFING,CLOSED,08/09/05
494105AD0000,CYPRESS @WOODMONT/REROOF,A&M FOX ROOFING,CLOSED,02/10/06
494104480011,SMC-ROOF SHINGLE&FLAT,A&M FOX ROOFING,CLOSED,05/03/06
494104AJ0000,RROOF SHINGLE&FLAT/844 SF,A&M FOX ROOFING,APPROVED,05/03/06
494109052310,REROOF TILE/1700 SF,A&M FOX ROOFING,CLOSED,11/17/06
494104CA0000,REROOF 600 SQ FT TILE,A&M FOX ROOFING,CLOSED,02/20/07
494104CG0000,REROOF FLAT W/SAME 400,A&M FOX ROOFING,CLOSED,02/20/07
494104BD0000,REROOF TILE TO TILE 600,A&M FOX ROOFING,CLOSED,02/20/07
494108051480,REROOF FLAT,A&M FOX ROOFING,CLOSED,05/23/07
494113071630,TILE REROOF/1500SF,A&M FOX ROOFING,CLOSED,01/10/08
494113102320,SHINGLES 1970 S F,A&M FOX ROOFING,CLOSED,05/16/08
494103031320,REROOF TILE AND FLAT,A&M FOX ROOFING,CLOSED,08/03/09
494106012180,REROOF FLAT 500 SF,A&M FOX ROOFING,CLOSED,11/18/09
494217020820,RE-ROOF FLAT,A&M FOX ROOFING,CLOSED,01/06/10
494103080460,REROOF FLAT ONLY/2000SF,A&M FOX ROOFING,CLOSED,03/10/10
494104CA0000,TILE REROOF ONLY/9000SF,A&M FOX ROOFING,CLOSED,04/15/10
494109051240,RE-ROOF TILE,A&M FOX ROOFING,CLOSED,01/19/11
494114110790,REROOF FLAT,A&M FOX ROOFING,CLOSED,11/01/11
494108210290,WELLS-RE-ROOF TILES,A&M FOX ROOFING,CLOSED,10/26/12
494113102270,REROOF FLAT ONLY/450SF,A&M FOX ROOFING,CLOSED,07/01/13
494217052280,MULLIGAN-RE-ROOF TILE,A&M FOX ROOFING,CLOSED,07/15/13
494217052260,RE-ROOF SHINGLES & FLAT/1,A&M FOX ROOFING,CLOSED,05/20/14
494106011740,REROOF SHINGLES,A TECH ROOFING,CLOSED,12/02/16
494105010160,RE-ROOF FLAT (ONLY),A-1 DURAN ROOFING,CLOSED,11/12/19
494105010160,REROOF FLAT,A-1 DURAN ROOFING,CLOSED,11/23/20
494105010160,REROOF FLAT,A-1 DURAN ROOFING,APPROVED,12/28/20
494105010160,REROOF FLAT,A-1 DURAN ROOFING,CLOSED,02/10/23
494113023110,ASPHALTIC SHINGLES/1200SF,A-1 JOSE JOSE ROOFING CORP,CLOSED,06/28/07
